"year","Brest","Newlyn"
1975.9583,6917,6940
1976.0417,6923,6959
1976.125,6966,6996
1976.2083,6970,6952
1976.2917,6907,6893
1976.375,6946,6945
1976.4583,6946,6942
1976.5417,6941,6988
1976.625,7004,7008
1976.7083,7113,7084
1976.7917,7309,7256
1976.875,7081,7071
1976.9583,7172,7166
1977.0417,7135,7107
1977.125,7250,7218
1977.2083,7152,7074
1977.2917,7001,6945
1977.375,6974,6983
1977.4583,6992,6998
1977.5417,6988,7003
1977.625,7011,7055
1977.7083,6948,7004
1977.7917,7114,7167
1977.875,7064,7079
1977.9583,7133,7164
1978.0417,7016,7016
1978.125,7157,7146
1978.2083,7074,7048
1978.2917,7016,7014
1978.375,7002,6986
1978.4583,7011,7023
1978.5417,6987,6980
1978.625,6979,7004
1978.7083,6954,6993
1978.7917,6945,6994
1978.875,6979,7041
1978.9583,7317,7336
1979.0417,7131,7151
1979.125,7162,7151
1979.2083,7084,7062
1979.2917,7048,7022
1979.375,7003,7006
1979.4583,6978,6984
1979.5417,6940,6976
1979.625,6994,7046
1979.7083,6968,7023
1979.7917,7149,7194
1979.875,7020,7048
1979.9583,7099,7104
1980.0417,NA,7086
1980.125,7040,7048
1980.2083,7050,7054
1980.2917,6943,6952
1980.375,7023,7037
1980.4583,7081,7063
1980.5417,7041,7068
1980.625,7038,7065
1980.7083,7045,7063
1980.7917,7147,7137
1980.875,7051,7115
1980.9583,6932,6966
1981.0417,6866,6878
1981.125,6958,6996
1981.2083,7165,7152
1981.2917,7006,6955
1981.375,7142,7129
1981.4583,7012,7010
1981.5417,6997,6978
1981.625,6962,7013
1981.7083,7041,7153
1981.7917,7184,7138
1981.875,7066,7067
1981.9583,7293,7293
1982.0417,7177,7139
1982.125,7114,7131
1982.2083,6938,6981
1982.2917,6968,6977
1982.375,NA,7006
1982.4583,7042,7088
1982.5417,7019,7043
1982.625,7025,7044
1982.7083,7088,7121
1982.7917,7178,7193
1982.875,7183,7196
1982.9583,7001,7119
1983.0417,6984,7022
1983.125,7046,7034
1983.2083,7012,7013
1983.2917,7137,7150
1983.375,7179,7189
1983.4583,7037,7009
1983.5417,7033,7062
1983.625,7003,7040
1983.7083,7093,7095
1983.7917,7083,7083
1983.875,7168,7201
1983.9583,7115,7204
1984.0417,7126,7090
1984.125,7004,6965
1984.2083,7037,7038
1984.2917,7008,7037
1984.375,7087,7072
1984.4583,7042,7014
1984.5417,6980,7026
1984.625,6957,7053
1984.7083,7072,7089
1984.7917,7118,7146
1984.875,7270,7285
1984.9583,7121,7114
1985.0417,7138,7133
1985.125,7131,7109
1985.2083,7065,7048
1985.2917,7063,6963
1985.375,7075,7069
1985.4583,7056,7056
1985.5417,7035,7042
1985.625,7078,7088
1985.7083,7010,7030
1985.7917,7029,7064
1985.875,7115,7135
1985.9583,7151,7177
1986.0417,7108,7077
1986.125,7084,7082
1986.2083,7022,7014
1986.2917,7048,7030
1986.375,7028,7051
1986.4583,7021,6997
1986.5417,6995,NA
1986.625,7029,7059
1986.7083,7042,7028
1986.7917,7098,7082
1986.875,7069,7075
1986.9583,7100,7078
1987.0417,6988,7006
1987.125,7064,7060
1987.2083,7025,7020
1987.2917,7044,7076
1987.375,7021,6979
1987.4583,7053,7044
1987.5417,7035,7053
1987.625,7083,7069
1987.7083,7108,7137
1987.7917,7309,7255
1987.875,7129,7121
1987.9583,7218,7217
1988.0417,7233,7224
1988.125,7083,7047
1988.2083,7017,7005
1988.2917,7059,7053
1988.375,7133,7111
1988.4583,7079,7063
1988.5417,7102,7096
1988.625,7047,7079
1988.7083,7051,7062
1988.7917,7199,7186
1988.875,7151,7170
1988.9583,7018,7024
1989.0417,7011,7033
1989.125,7100,7086
1989.2083,7066,7075
1989.2917,7092,7066
1989.375,7061,7031
1989.4583,7056,7040
1989.5417,7001,7012
1989.625,7064,7075
